Membership No  Date Joined  Active  
    32642      2020-11-1    no    
    77851      2019-4-10    no    
    89572      2015-2-13    no    
    63503      2015-6-2     no    
    45946      2019-2-13    no    
    78131      2015-10-2    no    
    43940      2016-7-16    no    
    30068      2017-9-10    no    
    63751      2019-6-7     no    
    44501      2016-7-24    no    
    86902      2020-6-12    no    
    10960      2015-4-19    no    
    48549      2018-8-12    no    
    58362      2020-4-17    no    
