Membership No  Date Joined  Active  
    92492      2020-4-14    no    
    29873      2018-1-16    no    
    11084      2016-9-8     no    
    25094      2015-9-21    no    
    45655      2019-9-1     no    
    44899      2019-11-9    no    
    92932      2016-7-3     no    
    68183      2015-12-19   no    
    84265      2019-9-18    no    
    70880      2015-2-10    no    
    72028      2018-10-1    no    
    86818      2018-11-7    no    
    58367      2020-11-12   no    
    60238      2015-7-15    no    
    76649      2015-8-15    no    
